D:\Daten\2015\10_Oktober\151019a.B\010.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,100.00,300.00,2700.34,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.302,0.00,1300.08,4100.79,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
0.448,0.00,800.03,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,100.00,1100.06,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00
0.741,0.00,1900.17,2800.37,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.887,0.00,2400.27,4000.75,100.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00
1.033,100.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.179,0.00,900.04,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.325,0.00,600.02,3500.57,100.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
1.471,0.00,600.02,3800.68,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.617,300.00,600.02,3400.54,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.763,0.00,900.04,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.909,0.00,600.02,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.055,0.00,800.03,3800.68,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2.201,0.00,700.02,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,100.00,900.04,3800.68,100.00,200.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00
2.493,0.00,400.01,3400.54,400.01,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
2.639,100.00,700.02,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2.785,0.00,800.03,3600.61,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.931,100.00,800.03,3900.71,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,200.00,900.04,3000.42,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
3.223,100.00,900.04,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,600.02,3500.57,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
3.515,0.00,1100.06,3000.42,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
3.661,0.00,1000.05,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,200.00,800.03,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,100.00,1300.08,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,700.02,2900.39,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
4.245,0.00,300.00,3800.68,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
4.391,0.00,1600.12,2600.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,900.04,3500.57,0.00,200.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.683,0.00,1600.12,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.829,0.00,600.02,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
4.975,100.00,1200.07,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
5.121,0.00,700.02,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,800.03,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
5.413,0.00,1000.05,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.559,0.00,500.01,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.705,0.00,700.02,4000.75,100.00,0.00,0.00,0.00,0.00,0.00,100.00,300.00,0.00
5.851,0.00,1300.08,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,200.00,1300.08,3800.68,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,0.00,300.00,3300.51,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
6.289,0.00,400.01,3200.48,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.435,0.00,400.01,2200.23,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
6.581,0.00,500.01,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.727,0.00,300.00,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.874,100.00,1000.05,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.020,0.00,1300.08,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.166,0.00,900.04,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.312,100.00,600.02,4300.87,200.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
7.458,0.00,600.02,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.604,100.00,900.04,3900.71,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.750,0.00,700.02,3100.45,0.00,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
7.896,0.00,1000.05,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
8.042,100.00,1400.09,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.188,0.00,1000.05,4500.95,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.334,0.00,1000.05,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8.480,100.00,1100.06,4600.99,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
