Intensity Vs Time,CPS
Acquired      : Oct 19 2015  03:14 pm using AcqMethod Mischel3.M
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,0.00,1000.05,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,100.00,900.04,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.448,0.00,1100.06,2600.32,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
0.594,0.00,600.02,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.740,100.00,900.04,3300.51,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,0.00,700.02,3000.42,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,800.03,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.178,100.00,700.02,3200.48,100.00,0.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00
1.324,0.00,700.02,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,0.00,1000.05,2300.25,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,100.00,900.04,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,800.03,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,0.00,300.00,3100.45,100.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
2.054,0.00,1200.07,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.200,0.00,1400.09,4701.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2.346,0.00,300.00,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.493,0.00,800.03,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.639,100.00,800.03,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.785,100.00,1000.05,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.931,100.00,700.02,2500.29,100.00,100.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00
3.077,100.00,600.02,2500.29,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
3.223,200.00,700.02,3300.51,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,100.00,800.03,1900.17,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.515,0.00,1600.12,3000.42,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,200.00,700.02,2500.29,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.807,100.00,900.04,2300.25,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.953,100.00,800.03,2600.32,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.099,0.00,1000.05,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.245,100.00,172176.07,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.391,0.00,500.01,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.537,0.00,1200.07,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.683,0.00,1100.06,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.829,0.00,1000.05,2600.32,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00
4.975,0.00,700.02,2000.19,400.01,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
5.121,100.00,500.01,2000.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.267,0.00,1200.07,4000.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,0.00,1100.06,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.559,0.00,800.03,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.705,0.00,1400.09,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.851,100.00,900.04,2400.27,0.00,0.00,0.00,0.00,100.00,0.00,100.00,0.00,0.00
5.997,100.00,400.01,1500.11,100.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
6.143,0.00,500.01,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
