D:\Daten\2015\10_Oktober\151019a.B\027.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,100.00,1100.06,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,900.04,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,800.03,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
0.594,0.00,1300.08,4500.95,100.00,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00
0.740,100.00,900.04,5501.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,0.00,900.04,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,300.00,1400.09,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.178,100.00,900.04,3300.51,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.324,100.00,1200.07,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.470,200.00,800.03,4400.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,0.00,900.04,2200.23,100.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
1.762,0.00,800.03,3400.54,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
1.908,100.00,700.02,3700.64,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.053,200.00,1200.07,4801.08,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.199,300.00,1300.08,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.345,0.00,1900.17,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.491,200.00,700.02,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.637,100.00,400.01,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.783,0.00,500.01,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.929,0.00,600.02,3200.48,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.075,0.00,900.04,3100.45,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.221,0.00,1000.05,3300.51,200.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
3.367,0.00,900.04,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.513,100.00,1600.12,3700.64,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
3.659,100.00,1200.07,3400.54,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.806,0.00,1300.08,3000.42,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00,0.00
3.952,0.00,1000.05,2600.32,200.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.098,0.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.244,0.00,900.04,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.390,0.00,1000.05,3800.68,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.536,0.00,1000.05,3500.57,400.01,0.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00
4.682,100.00,1100.06,4901.13,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.828,0.00,800.03,3400.54,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
4.974,0.00,600.02,4400.91,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.120,100.00,500.01,3600.61,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.266,100.00,800.03,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
5.412,0.00,1300.08,4200.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.558,0.00,500.01,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.704,0.00,600.02,3800.68,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.850,0.00,1200.07,3500.57,0.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00
5.996,0.00,500.01,3100.45,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
6.142,0.00,700.02,4500.95,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.288,0.00,1200.07,3400.54,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
6.434,0.00,300.00,3300.51,0.00,0.00,100.00,0.00,100.00,0.00,100.00,0.00,0.00
6.580,0.00,700.02,4200.83,100.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
6.726,0.00,800.03,3500.57,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.872,0.00,900.04,3500.57,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.018,0.00,1000.05,3300.51,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,100.00
7.164,200.00,1000.05,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.310,0.00,300.00,3900.71,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
7.456,0.00,1300.08,4000.75,0.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
7.602,0.00,1100.06,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.748,100.00,1300.08,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.894,0.00,1000.05,2700.34,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
