D:\Daten\2015\10_Oktober\151019b.B\018.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.156,100.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,900.04,1500.11,300.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
0.448,0.00,600.02,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,100.00,1200.07,2000.19,200.00,0.00,100.00,100.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,600.02,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.886,100.00,1500.11,2400.27,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,100.00
1.032,0.00,1500.11,2000.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.178,0.00,1200.07,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.324,0.00,900.04,2200.23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.470,0.00,700.02,2800.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,200.00,500.01,1600.12,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,100.00,1000.05,2900.39,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
1.908,0.00,600.02,2900.39,0.00,0.00,0.00,0.00,100.00,100.00,100.00,0.00,0.00
2.054,0.00,400.01,2200.23,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.200,0.00,1000.05,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
2.346,0.00,1100.06,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.492,0.00,1100.06,2000.19,100.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.638,0.00,800.03,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.784,0.00,900.04,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.930,0.00,1300.08,3400.54,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.076,0.00,1500.11,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.222,0.00,600.02,2600.32,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00
3.368,0.00,1000.05,2400.27,200.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
3.514,0.00,800.03,1100.06,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.660,0.00,800.03,1800.15,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.806,0.00,1000.05,1300.08,200.00,0.00,0.00,0.00,0.00,100.00,100.00,0.00,0.00
3.952,100.00,500.01,2700.34,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.098,0.00,1000.05,2500.29,0.00,0.00,100.00,0.00,0.00,0.00,200.00,0.00,0.00
4.244,0.00,1000.05,2500.29,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.390,200.00,600.02,2900.39,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.536,0.00,1500.11,2100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4.682,0.00,1300.08,2500.29,300.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
4.828,100.00,900.04,2000.19,100.00,0.00,0.00,0.00,0.00,200.00,100.00,0.00,0.00
4.974,0.00,1000.05,1800.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.120,0.00,500.01,2700.34,100.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.266,0.00,600.02,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.413,0.00,1000.05,2800.37,200.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00
5.559,0.00,900.04,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.705,0.00,1500.11,1400.09,400.01,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
5.851,100.00,800.03,1300.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5.997,200.00,800.03,2900.39,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.143,0.00,800.03,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
6.289,0.00,1500.11,1800.15,200.00,0.00,0.00,100.00,0.00,0.00,100.00,0.00,0.00
6.435,0.00,900.04,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.581,0.00,800.03,2400.27,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6.727,100.00,500.01,1800.15,100.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
6.873,0.00,700.02,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.018,0.00,1200.07,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.165,0.00,800.03,3200.48,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.311,0.00,1100.06,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00
7.457,0.00,500.01,1200.07,500.01,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
7.603,0.00,1100.06,2100.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7.749,0.00,900.04,3200.48,100.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00
7.895,0.00,1300.08,1900.17,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
