D:\Daten\2015\10_Oktober\151019a.B\011.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.155,0.00,900.04,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.302,0.00,400.01,3200.48,200.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,100.00
0.448,0.00,800.03,3400.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.594,100.00,600.02,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.740,0.00,800.03,2500.29,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
0.886,0.00,1000.05,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.032,0.00,1100.06,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.178,100.00,600.02,3000.42,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.324,200.00,600.02,3500.57,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.470,0.00,1000.05,3700.64,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.616,100.00,500.01,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.762,0.00,900.04,4100.79,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.908,0.00,1000.05,2600.32,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.054,0.00,900.04,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
2.200,0.00,900.04,3400.54,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,800.03,2300.25,100.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00
2.492,0.00,1100.06,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.638,0.00,800.03,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.784,0.00,700.02,2800.37,100.00,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.930,0.00,800.03,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
