D:\Daten\2015\10_Oktober\151019a.B\004.D
Intensity Vs Time,CPS
Time [Sec],Mg25,Al27,P31,Ca43,Sr88,Y89,Ba137,La139,Ce140,Pb208,Th232,U238
0.157,100.00,600.02,3300.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.303,0.00,600.02,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.449,100.00,900.04,3600.61,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.595,0.00,600.02,2300.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.741,0.00,1000.05,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
0.887,0.00,500.01,3500.57,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.033,0.00,1200.07,2500.29,100.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00
1.179,0.00,1100.06,2600.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.325,0.00,500.01,2600.32,100.00,200.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.471,200.00,800.03,3800.68,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1.617,100.00,1000.05,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.763,0.00,500.01,3700.64,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
1.909,0.00,800.03,2500.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.055,0.00,900.04,2400.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.201,0.00,1000.05,2300.25,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
2.346,0.00,1000.05,2900.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.493,0.00,400.01,3100.45,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2.639,0.00,900.04,3100.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.785,0.00,1500.11,3000.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2.931,100.00,1000.05,2700.34,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.077,0.00,900.04,2700.34,0.00,0.00,100.00,0.00,0.00,0.00,100.00,0.00,0.00
3.223,0.00,500.01,2800.37,200.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00
3.369,0.00,500.01,2800.37,100.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
3.515,100.00,500.01,2400.27,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3.661,0.00,1000.05,2800.37,0.00,200.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00
